annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,label,stage_name,flagged,confidence,note
Apuela,private,851830,"Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",85,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio-frequency and electric sound amplifiers and sets","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8518,D5,4.0,Manufactured Component,0.1281261516734271,0.1644035777805103,0.1452371093489462,0.116703995066643,0.4455291661304733,5,Assembled/Finished,0.9017,False,,,,,
Apuela,private,880400,Parachutes (including dirigible parachutes and paragliders) and rotochutes: parts thereof and accessories thereto,88,Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto,"Aircraft, spacecraft, and parts thereof",8804,D5,5.0,Assembled/Finished,0.107990197032763,0.4134989648051637,0.0784757429474909,0.1905743614541414,0.2094607337604408,2,Primary Processed,0.9001,False,,,,,
Apuela,private,846693,Parts & accessories suited for use solely/principally with machines of headings 8456-8465: n.e.c. in heading no. 8466,84,"Parts & accessories suited for use only/mainly with machines of headings 8456-8465, including work/tool holders, self-opening dieheads, dividing heads & other special attachments for the machines; tool holders for any type of tool for working in the hand","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8466,D5,4.0,Manufactured Component,0.0739742958994634,0.1407362957243897,0.1248244708417022,0.2674197832687215,0.3930451542657229,5,Assembled/Finished,0.8997,False,,,,,
Apuela,private,810730,Cadmium: waste and scrap,81,,"Metals; n.e.c., cermets and articles thereof",8107,D4,2.0,Primary Processed,0.131067618727684,0.262947142124176,0.0811541378498077,0.4094205796718597,0.1154105216264724,4,Manufactured Component,0.8924,False,,,,,
Apuela,private,871495,"Cycles: parts thereof, saddles",87,Vehicles; parts and accessories of heading no. 8711 to 8713,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8714,D5,5.0,Assembled/Finished,0.1943461986080945,0.4438488053128479,0.1399582880747828,0.1374221999221384,0.0844245080821362,2,Primary Processed,0.8919,False,,,,,
Apuela,private,750110,Nickel: nickel mattes,75,Nickel mattes; nickel oxide sinters and other intermediate products of nickel metallurgy,Nickel and articles thereof,7501,D4,2.0,Primary Processed,0.1451524282178687,0.3357114641795398,0.0700994251624006,0.3527440867091378,0.0962925957310529,4,Manufactured Component,0.8859,False,,,,,
Apuela,private,810330,Tantalum: waste and scrap,81,"Tantalum; articles thereof, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8103,D4,2.0,Primary Processed,0.2873094975948334,0.1934636533260345,0.0661218017339706,0.3808488249778747,0.0722562223672866,4,Manufactured Component,0.8781,False,,,,,
Apuela,private,911440,Clock or watch parts: plates and bridges,91,Clock or watch parts; n.e.c. in chapter 91,Clocks and watches and parts thereof,9114,D5,5.0,Assembled/Finished,0.3290919637002649,0.2227559371087257,0.076830297136081,0.0418014895781763,0.3295203124767518,5,Assembled/Finished,0.8673,True,,,,,
Apuela,private,821300,"Scissors: tailors' shears, similar shears and blades therefore",82,"Scissors; tailors' shears and similar shears, and blades therefore","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8213,D4,4.0,Manufactured Component,0.1131130590423301,0.0657236759369502,0.1434735283577047,0.46362891231032,0.2140608243526948,4,Manufactured Component,0.8639,True,,,,,
Apuela,private,841440,Compressors: air compressors mounted on a wheeled chassis for towing,84,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan; gas-tight biological safety cabinets whether or not fitted with filters","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8414,D5,4.0,Manufactured Component,0.1235423936120274,0.4664513891022135,0.0837648405222281,0.0941614026516153,0.2320799741119156,2,Primary Processed,0.8595,False,,,,,
